11.70,11.80,11.70,11.80,11.80,11.12,11.36,11.58,11.27,11.27,11.36,11.12,11.05,10.91,10.91,11.05,11.05,10.83,11.05,10.91,10.91,10.69,11.05,11.12,10.91,10.91,10.83,10.69,10.83,10.83,10.91,10.56,10.69,10.69,10.47,10.56,10.69,10.56,10.56,10.91,10.47,10.56,10.69,10.56,10.47,10.56,10.56,10.69,10.69,10.47,10.69,10.91,10.69,10.56,10.91,10.69,10.47,10.69,10.91,10.56,10.91,10.91,10.56,10.69,10.91,11.12,11.12,11.12,11.27,11.70,12.59,13.25,14.94,17.72,20.55,23.38,25.09,26.30,27.53,28.62,29.03,30.09,30.17,30.09,30.00,29.78,29.88,29.88,29.64,29.88,29.78,29.64,29.56,29.64,29.88,29.78,29.88,30.00,30.09,30.00,30.09,29.88,30.00,30.00,29.64,29.88,29.56,30.00,30.09,29.56,29.88,29.88,29.34,29.34,29.64,29.64,29.64,29.56,29.78,29.64,29.78,29.78,29.64,29.56,29.56,29.56,29.47,29.34,29.64,29.64,29.64,29.56,29.64,29.78,29.56,29.64,29.56,29.47,29.64,29.56,29.78,29.64,29.78,29.78,29.64,29.88,30.00,30.09,30.09,30.00,30.00,30.31,30.09,30.17,29.88,30.17,30.17,30.17,30.17,30.31,30.17,30.17,30.41,30.31,30.41,30.41,30.84,30.70,30.53,30.94,30.84,30.70,30.84,30.84,30.62,30.70,31.02,30.70,30.94,30.94,30.62,30.84,30.53,30.53,30.84,30.70,30.70,30.70,30.70,30.84,31.02,31.02,31.16,31.16,31.55,31.45,30.70,29.64,28.81,28.09,26.69,25.41,24.56,24.03,466.03,23.16,21.73,19.58,16.39,14.05,12.94,11.80,11.48,11.36,11.05,11.12,10.91,10.91,11.05,10.91,10.83,10.47,10.25,10.56,10.47,10.33,10.47,10.83,10.47,10.47,10.56,10.33,10.56,10.25,10.25,10.11,10.03,10.25,10.56,10.33,10.47,10.47,10.69,10.56,10.83,10.47,10.83,10.56,10.91,10.69,10.56,10.69,10.25,10.69,10.56,10.69
10.69,11.80,11.58,11.36,11.80,11.36,11.58,11.48,11.36,11.48,11.05,11.36,11.12,11.36,11.12,11.05,11.05,11.05,10.91,11.12,10.69,10.56,10.91,11.36,10.83,10.69,10.69,10.83,10.91,10.91,10.69,10.56,11.05,10.69,10.56,10.83,10.56,10.69,10.56,10.69,10.56,10.56,10.33,10.56,10.69,10.56,10.33,10.56,10.69,10.56,10.56,10.47,10.56,10.83,10.56,10.69,10.69,10.56,10.69,10.83,10.47,10.83,10.91,10.91,11.05,11.12,10.91,11.48,11.12,11.48,11.80,13.03,14.19,16.70,19.58,22.27,24.44,25.84,27.34,28.41,29.25,29.88,30.00,30.31,29.56,29.64,29.64,29.88,30.00,29.88,29.64,29.88,29.88,30.00,29.78,29.88,29.88,30.00,30.00,30.09,29.88,30.09,30.00,29.88,30.00,30.00,30.00,29.64,29.88,29.78,29.64,29.64,29.64,29.56,29.78,29.88,29.56,29.64,29.56,29.78,29.78,29.47,29.64,29.78,29.88,29.56,29.88,29.47,29.34,29.56,29.64,29.56,29.64,29.78,29.56,29.56,29.56,29.34,29.56,29.56,29.64,29.56,29.64,29.64,29.64,29.64,29.78,29.78,30.00,30.00,30.09,30.17,30.17,30.17,30.00,30.00,30.09,30.17,30.17,30.17,30.31,30.00,30.31,30.41,30.31,30.41,30.31,30.84,30.53,30.53,30.70,30.84,30.70,30.84,30.84,30.62,30.70,30.70,30.53,30.84,30.62,30.70,30.70,30.70,30.41,30.84,30.53,30.53,30.70,30.70,30.84,30.70,30.53,31.02,31.23,31.23,31.55,30.84,30.31,29.56,28.62,27.34,26.47,25.53,24.56,23.59,22.84,21.08,17.80,15.38,13.95,12.94,11.92,11.70,11.36,11.36,11.05,10.91,10.83,10.56,10.83,10.33,10.83,10.47,10.33,10.56,10.47,10.33,10.56,10.11,10.47,10.56,10.33,10.47,10.25,10.47,10.33,10.11,10.33,10.33,10.56,10.33,10.11,10.33,10.33,10.56,10.56,10.56,10.47,10.56,10.56,10.56,10.83,10.69,10.69,10.83
10.69,12.28,11.48,11.58,11.70,11.58,11.58,11.36,11.58,11.36,11.12,11.58,11.27,11.12,11.05,11.27,11.27,11.12,10.91,11.05,10.69,10.91,10.91,11.05,10.91,10.91,10.69,10.69,10.69,10.69,10.91,10.91,11.12,10.83,11.05,10.91,10.69,10.56,10.56,10.69,10.69,10.69,10.47,10.83,10.56,10.69,10.83,10.83,10.56,10.91,10.91,10.83,10.69,10.69,10.69,10.83,10.56,10.91,10.69,10.91,10.83,10.69,10.91,11.05,10.56,11.12,11.27,11.36,11.36,12.14,12.38,13.83,15.73,19.12,21.73,23.81,25.62,27.00,27.97,29.03,29.88,30.00,29.88,29.78,29.56,29.78,29.88,30.00,29.64,29.88,29.64,30.00,30.00,29.88,30.00,30.09,30.00,30.00,30.00,30.00,30.00,30.00,30.00,29.88,29.88,30.09,30.09,29.78,30.00,29.88,29.78,29.56,29.88,29.64,29.64,29.78,29.64,30.00,29.64,29.88,29.78,30.09,30.00,29.64,29.64,29.56,29.78,29.56,29.56,29.64,29.78,29.56,29.64,29.78,29.56,29.56,29.56,29.64,29.78,29.56,29.78,29.64,29.78,29.64,29.78,30.00,30.00,30.09,30.09,30.09,30.00,30.17,30.53,30.09,30.31,30.17,30.53,30.17,30.17,30.31,30.17,30.53,30.17,30.31,30.41,30.70,30.53,30.62,30.84,30.53,30.70,31.02,30.70,30.84,30.84,30.70,30.84,30.70,30.62,30.84,30.84,31.02,30.84,30.84,30.70,30.53,30.62,30.31,30.53,30.70,30.70,30.84,30.84,31.02,31.16,31.23,31.38,31.23,30.84,30.31,29.64,28.81,28.09,27.22,26.30,24.88,23.69,22.27,20.55,18.47,15.95,14.05,12.81,12.38,11.58,11.36,11.27,11.05,11.05,10.83,10.91,10.56,10.56,10.91,10.69,10.91,10.69,10.56,10.56,10.47,10.56,9.81,10.33,10.47,10.11,10.25,10.33,10.56,10.33,10.47,10.47,10.83,10.56,10.56,10.47,10.47,10.56,10.56,10.56,10.69,10.56,10.91,10.56,10.91,10.69,10.83
10.56,11.58,11.36,11.80,11.36,11.36,11.48,11.58,11.36,11.27,11.12,11.05,10.91,11.05,10.91,10.91,10.91,10.91,11.12,11.12,10.56,10.33,10.91,11.05,10.69,10.69,10.91,10.91,10.91,10.83,10.69,10.56,10.56,10.91,10.56,10.56,10.33,10.47,10.33,10.56,10.56,10.56,10.83,10.69,10.56,10.47,10.47,10.47,10.69,10.91,10.33,10.47,10.56,10.56,10.69,10.91,10.33,10.91,10.83,10.56,10.56,11.12,11.05,10.83,10.56,10.83,11.36,11.36,11.80,12.28,13.17,14.70,18.16,21.20,23.59,24.97,26.38,27.66,28.50,29.64,29.88,30.09,29.64,29.64,29.56,29.88,29.88,29.88,29.88,29.78,29.88,29.88,30.17,29.88,29.78,30.00,29.88,30.00,29.88,29.88,29.88,30.00,29.78,29.88,29.78,29.78,30.09,29.78,30.00,29.78,29.78,29.56,29.64,29.56,29.78,29.78,29.64,30.00,29.78,30.00,29.78,29.64,30.00,29.64,29.64,29.56,29.64,29.34,29.78,29.56,29.78,29.56,29.64,29.47,29.56,29.56,29.47,29.34,29.56,29.64,29.64,29.56,29.56,29.78,29.78,29.64,30.00,30.17,29.88,30.00,30.17,30.31,30.09,30.31,30.17,30.31,30.17,30.31,30.09,30.31,30.41,30.31,30.09,30.31,30.31,30.53,30.31,30.70,30.53,30.53,30.53,30.84,30.70,30.84,31.02,30.94,30.62,30.84,30.70,30.70,30.94,30.70,30.70,30.70,30.62,30.53,30.53,30.41,30.31,30.53,30.53,30.62,30.70,31.16,31.16,31.23,31.16,31.45,31.16,31.16,30.62,29.78,29.03,28.41,26.91,25.84,24.56,23.59,22.27,21.42,19.12,16.39,13.73,12.50,12.06,11.48,11.12,11.27,10.83,10.69,10.47,10.69,10.83,10.25,10.69,10.47,10.47,10.47,10.47,10.11,10.33,10.11,10.33,9.89,10.03,9.81,10.11,10.03,10.33,10.33,10.25,10.33,10.56,10.56,10.33,10.33,10.47,10.56,10.47,10.33,10.56,10.33,10.56,10.56,10.47,10.56
10.47,11.70,11.58,11.36,11.70,11.36,11.36,11.48,11.36,11.27,11.27,11.05,11.27,11.12,10.91,11.36,11.12,11.12,11.27,11.27,10.91,10.91,10.83,10.56,11.05,10.91,10.83,11.05,10.69,10.91,11.12,10.83,11.05,10.91,10.56,10.69,10.56,10.91,10.69,11.05,10.56,10.33,10.83,10.56,10.69,10.91,10.33,10.83,10.56,10.69,10.56,10.83,10.83,10.91,10.91,10.91,10.69,11.05,10.91,10.69,10.83,11.27,11.27,11.27,10.91,11.27,11.70,12.06,12.06,12.72,14.19,16.70,20.23,22.62,24.56,26.06,27.44,28.41,29.25,29.64,30.09,29.78,29.56,29.47,30.00,29.78,29.88,30.09,30.00,29.88,30.17,29.88,30.31,30.17,30.00,30.00,30.17,30.00,29.64,29.88,30.17,30.00,30.00,30.00,30.09,29.88,30.09,29.64,29.78,30.00,29.64,29.88,29.88,29.56,30.00,30.00,30.17,30.00,29.88,29.78,29.64,29.64,29.78,29.56,29.56,29.56,29.78,29.47,29.78,29.56,29.64,29.56,29.78,29.56,29.56,29.78,29.64,29.64,29.56,29.56,29.64,30.00,29.56,29.78,29.78,29.88,30.17,30.17,30.09,30.17,30.31,30.09,30.17,30.31,30.31,30.17,30.53,30.31,30.53,30.17,30.31,30.17,30.53,30.53,30.17,30.62,30.53,30.62,30.53,30.53,30.70,30.94,30.84,31.02,30.94,30.84,30.84,31.02,30.84,31.02,30.94,31.02,30.84,30.84,30.70,30.84,30.70,30.62,30.70,30.41,30.84,30.62,30.94,31.02,31.23,31.02,31.38,31.55,31.38,31.55,31.38,30.53,29.34,28.72,27.88,26.59,25.62,24.34,23.06,22.48,21.08,18.59,15.73,13.73,12.38,12.06,11.36,11.36,11.05,10.91,10.69,11.05,10.47,10.83,10.47,10.69,10.56,10.69,10.47,10.56,10.47,10.56,10.56,10.25,10.69,10.47,10.56,10.11,10.33,10.47,10.11,10.47,10.56,10.56,10.47,10.56,10.83,10.56,10.83,10.47,10.69,10.83,10.91,10.56,10.56,10.69
10.56,11.70,11.70,11.58,11.48,11.70,11.58,11.58,11.36,11.27,11.27,11.12,11.12,10.91,11.27,11.36,11.36,11.36,11.12,11.05,10.91,10.83,11.12,10.91,10.91,11.12,10.91,10.91,10.69,11.27,11.05,10.83,10.69,11.12,10.69,10.69,10.69,10.83,10.83,10.47,10.33,10.47,10.69,10.91,10.69,10.83,10.56,10.47,10.56,10.91,10.69,10.56,10.56,10.69,11.05,10.83,11.05,11.05,10.56,10.91,11.05,11.05,11.27,11.12,11.12,11.36,11.36,12.06,12.28,13.03,15.50,18.59,22.09,24.12,25.53,27.22,27.97,29.03,29.47,30.00,30.17,30.00,29.64,29.64,30.00,29.78,30.09,30.00,30.09,30.00,30.17,30.00,30.09,30.00,30.00,30.17,30.09,30.09,29.88,29.88,30.00,30.17,30.00,30.00,29.88,29.88,29.88,29.88,29.88,29.88,29.64,30.09,29.88,29.88,30.00,30.00,29.88,30.00,30.00,29.78,30.00,29.88,29.64,29.47,29.88,29.64,29.56,29.78,29.88,29.78,30.00,29.47,29.64,29.78,29.56,29.78,29.78,29.64,30.00,29.56,29.56,29.78,29.64,29.78,29.64,29.78,29.88,30.31,30.00,30.31,30.17,30.31,30.53,30.17,30.53,30.31,30.31,30.31,30.53,30.53,30.31,30.53,30.17,30.53,30.31,30.53,30.70,30.53,30.53,30.53,30.84,30.84,30.84,30.94,31.02,31.16,30.84,30.84,30.84,30.84,31.16,30.94,30.94,30.94,30.70,30.94,30.70,30.53,30.62,30.70,30.70,30.84,30.84,31.02,30.94,31.16,31.23,31.16,31.02,31.45,31.23,30.84,30.00,29.16,27.97,26.91,26.06,24.97,23.91,23.38,22.70,20.67,17.72,14.70,13.73,12.06,11.80,11.70,11.12,11.12,10.69,10.83,10.83,11.05,10.56,10.83,10.56,10.47,10.47,10.69,10.47,10.69,10.69,10.56,10.47,10.25,10.33,10.47,10.56,10.25,10.56,10.33,10.25,10.47,10.25,10.91,10.56,10.69,10.47,10.69,10.69,10.56,10.56,10.69,10.69,10.56
10.69,11.70,11.36,11.48,11.48,11.36,11.58,11.12,11.36,11.12,11.27,11.12,11.12,11.12,10.83,11.27,10.91,10.91,11.27,11.05,11.05,10.83,11.12,11.05,10.91,10.91,11.05,10.69,10.69,10.91,11.05,10.83,11.12,11.27,11.12,10.83,10.83,10.91,10.83,10.83,10.69,10.83,10.56,10.69,10.56,10.56,10.56,10.56,10.69,10.69,10.47,10.91,10.56,10.69,11.05,10.83,10.91,10.91,11.05,10.91,10.91,11.05,11.05,11.05,11.12,11.58,11.80,12.28,13.03,14.27,16.70,20.67,23.38,25.19,26.38,27.44,28.62,29.47,29.64,30.17,30.00,29.47,29.34,29.64,30.00,30.00,30.09,29.78,30.00,30.09,30.17,30.09,30.31,30.09,30.09,30.09,30.09,30.00,30.00,30.17,30.00,30.00,30.00,30.00,29.88,29.88,29.78,29.64,30.00,30.00,29.88,29.88,29.88,30.00,29.78,30.00,30.00,29.88,30.00,29.78,29.88,29.88,29.64,29.78,29.78,29.64,29.64,29.88,29.88,29.78,29.56,29.64,29.56,29.56,29.56,29.56,29.78,29.78,29.88,29.56,29.78,29.78,29.88,29.88,29.64,29.78,30.00,30.17,30.09,30.31,30.09,30.31,30.31,30.41,30.31,30.41,30.17,30.53,30.31,30.31,30.31,30.17,30.17,30.41,30.31,30.31,30.53,30.53,30.41,30.62,30.70,30.84,30.70,30.70,30.84,31.02,30.94,30.84,30.70,31.02,30.94,31.02,31.02,30.84,30.53,30.94,30.70,31.02,30.84,30.70,31.02,30.62,30.84,30.84,31.16,31.02,31.02,31.16,31.23,31.23,31.38,31.23,30.70,29.47,28.62,27.22,26.59,25.94,24.97,24.12,23.69,22.09,19.34,16.83,14.84,13.17,12.06,11.36,11.12,11.12,11.05,10.91,10.69,10.56,10.47,10.69,10.33,10.56,10.56,10.56,10.33,10.47,10.69,10.47,10.25,10.56,10.47,10.11,10.11,10.11,10.33,10.25,10.33,10.33,10.47,10.56,10.11,10.69,10.56,10.83,10.69,10.56,10.56,10.56,10.56,10.83
10.69,11.58,11.36,11.48,11.27,11.36,11.05,11.12,11.05,11.12,11.05,11.12,11.27,11.05,10.91,10.91,10.91,11.05,11.05,10.83,10.56,10.69,10.83,10.91,10.91,10.91,10.69,11.12,11.12,10.91,11.36,11.12,11.58,11.80,11.58,11.70,11.36,11.48,11.12,10.69,10.33,10.47,10.83,10.47,10.83,10.56,10.56,10.47,10.56,10.56,10.56,11.05,10.69,10.56,10.69,10.83,11.12,10.91,10.56,10.83,11.05,11.12,10.91,11.27,11.27,11.48,11.92,12.38,13.61,15.50,18.91,22.27,24.03,25.84,27.00,28.28,29.16,29.56,29.78,29.64,29.78,29.88,29.56,29.78,29.78,29.78,30.00,30.09,30.09,30.00,30.09,30.09,30.17,30.00,30.00,30.00,30.09,29.78,29.88,30.00,30.00,29.78,29.88,30.00,29.78,29.78,30.00,29.78,29.88,29.88,29.78,30.00,29.88,29.47,29.88,30.00,29.64,29.64,29.88,30.00,29.64,30.09,29.88,29.78,29.88,29.64,29.88,29.56,29.64,29.56,29.56,29.78,29.78,29.78,30.00,29.78,29.64,29.78,29.56,29.78,29.56,29.64,29.78,29.64,29.88,29.88,30.00,30.09,30.17,30.17,30.17,30.31,30.31,30.31,30.41,30.17,30.31,30.17,30.41,30.53,30.17,30.62,30.53,30.41,30.31,30.31,30.41,30.53,30.41,30.41,30.53,30.70,30.70,30.70,30.70,30.84,30.70,30.70,30.70,30.70,30.84,31.02,30.84,30.84,30.84,30.84,31.02,30.84,30.62,30.62,30.84,30.84,30.70,30.70,30.94,30.84,31.16,31.02,30.94,31.38,31.16,31.23,31.02,30.31,29.16,27.22,26.81,26.38,25.41,24.88,24.12,22.84,20.77,17.50,14.84,13.17,12.50,11.58,11.27,11.12,11.27,11.05,10.69,10.56,10.33,10.47,10.56,10.47,10.47,10.56,10.25,10.47,10.47,10.25,10.33,10.11,10.69,10.33,10.56,10.11,10.25,10.47,10.56,10.33,10.25,10.56,10.47,10.47,10.56,10.47,10.33,10.56,10.91,10.69,10.25,11.05
10.83,11.36,11.58,11.36,11.58,11.36,11.48,11.48,11.36,11.05,11.05,11.36,11.12,11.27,11.05,11.05,10.91,10.83,11.12,10.56,10.69,11.05,11.12,11.05,10.69,10.83,10.83,11.12,11.36,11.48,11.36,11.36,11.80,11.92,12.28,12.28,11.80,11.80,11.36,11.58,10.83,10.56,10.83,10.83,10.83,10.69,10.91,10.56,10.69,10.69,10.69,10.83,10.91,11.05,10.69,10.69,10.69,10.69,10.91,10.91,11.05,11.27,11.27,11.36,11.36,11.48,12.14,13.03,14.84,17.94,21.30,23.59,25.41,26.47,27.75,28.81,29.34,30.09,29.88,29.64,29.88,29.78,29.34,29.64,29.78,30.09,30.00,30.17,30.17,30.09,30.00,30.17,30.09,30.09,30.09,30.00,29.88,30.00,30.00,30.17,30.00,29.78,29.88,30.00,30.00,29.88,29.88,29.64,29.78,29.64,29.64,30.00,29.88,29.56,29.64,30.09,29.78,29.88,30.00,29.88,30.00,29.56,29.88,29.78,30.09,29.78,30.00,29.88,29.64,29.78,29.88,29.78,29.56,29.64,29.64,29.78,29.78,29.78,29.78,29.64,29.64,29.78,29.78,29.88,30.17,30.17,30.00,30.09,30.17,30.09,30.31,30.17,30.31,30.41,30.53,30.53,30.41,30.31,30.41,30.53,30.31,30.41,30.31,30.31,30.17,30.53,30.53,30.53,30.31,30.62,30.70,30.62,30.53,30.84,31.02,30.94,30.84,30.84,31.02,30.70,30.94,30.70,30.84,30.84,30.70,30.70,30.84,30.94,30.84,31.02,30.53,30.84,30.84,30.84,31.02,30.84,30.84,31.16,31.02,31.23,31.23,31.23,31.38,31.23,30.31,29.25,28.09,27.44,26.59,25.19,24.22,23.38,21.42,18.83,16.03,14.05,13.03,12.06,11.48,11.12,11.12,10.83,11.12,11.05,10.83,10.69,10.56,10.33,10.56,10.56,10.47,10.33,10.47,10.33,10.25,10.33,10.33,10.56,10.56,10.47,10.33,10.25,10.33,10.47,10.56,10.47,10.47,10.47,10.47,10.69,10.33,10.56,10.33,10.69,10.69,10.56
10.56,11.58,11.58,11.48,11.58,11.27,11.36,11.36,10.91,11.12,11.05,10.69,11.05,10.91,11.05,10.83,11.12,10.83,11.05,11.05,10.83,10.83,11.05,10.56,11.05,11.05,10.91,10.56,11.05,10.91,11.05,11.27,11.36,11.92,11.80,11.70,11.80,12.28,12.06,11.92,11.58,11.05,10.91,11.05,10.69,10.91,10.69,11.05,10.69,11.05,10.83,10.91,11.05,10.56,10.56,10.91,10.69,11.05,11.05,10.91,10.83,11.27,11.12,11.36,11.58,11.92,12.94,13.61,15.81,19.80,22.70,24.78,25.94,27.00,27.97,29.03,29.78,30.09,29.64,29.64,29.34,29.56,29.78,29.78,29.88,30.00,30.09,30.31,29.88,30.09,30.31,30.09,30.00,30.00,29.88,29.88,29.78,30.09,29.88,29.78,30.17,29.78,30.00,29.88,29.88,29.78,29.88,29.88,30.00,29.64,29.64,30.00,30.17,29.88,29.78,30.09,29.64,29.88,29.78,29.88,29.88,29.88,29.56,29.56,29.88,29.78,30.00,29.64,29.78,30.00,29.88,29.56,29.78,29.78,29.78,29.78,29.78,29.64,29.56,29.88,29.78,30.00,30.00,30.09,30.00,29.64,30.00,30.09,30.09,30.17,30.09,30.31,30.53,30.41,30.31,30.31,30.31,30.53,30.31,30.41,30.31,30.53,30.31,30.41,30.41,30.31,30.53,30.53,30.41,30.31,30.53,30.94,30.53,30.94,30.94,30.84,30.84,30.84,30.84,30.70,31.02,30.94,30.84,31.02,30.84,30.94,31.16,30.84,30.84,31.02,30.94,30.84,30.53,30.70,31.16,30.84,30.70,31.02,30.70,31.16,31.02,31.02,31.38,31.45,30.94,30.17,29.16,28.41,27.34,26.30,24.88,23.59,22.09,20.45,17.72,15.16,13.73,12.38,11.58,11.36,11.27,11.27,10.91,10.83,10.56,10.69,10.83,10.11,10.56,10.47,10.33,10.25,10.11,10.83,10.56,10.47,10.47,10.25,10.11,10.33,10.33,10.47,10.25,10.03,10.47,10.56,10.69,10.33,10.56,10.56,10.25,10.56,10.47,10.69,10.83,10.56
